x-axis,1,EXT
second,Volt,
+2.20000E-03,+188.14067E-03,1
+2.25000E-03,+169.29645E-03,1
+2.30000E-03,+156.73364E-03,1
+2.35000E-03,+147.93967E-03,1
+2.40000E-03,+170.55273E-03,1
+2.45000E-03,+147.93967E-03,1
+2.50000E-03,+188.14067E-03,1
+2.55000E-03,+149.19595E-03,1
+2.60000E-03,+188.14067E-03,1
+2.65000E-03,+188.14067E-03,1
+2.70000E-03,+188.14067E-03,1
+2.75000E-03,+188.14067E-03,1
+2.80000E-03,+176.83414E-03,1
+2.85000E-03,+188.14067E-03,1
+2.90000E-03,+147.93967E-03,1
+2.95000E-03,+186.88439E-03,1
+3.00000E-03,+176.83414E-03,1
+3.05000E-03,+150.45223E-03,1
+3.10000E-03,+165.52761E-03,1
+3.15000E-03,+186.88439E-03,1
+3.20000E-03,+188.14067E-03,1
+3.25000E-03,+169.29645E-03,1
+3.30000E-03,+188.14067E-03,1
+3.35000E-03,+186.88439E-03,1
+3.40000E-03,+147.93967E-03,1
+3.45000E-03,+188.14067E-03,1
+3.50000E-03,+156.73364E-03,1
+3.55000E-03,+149.19595E-03,1
+3.60000E-03,+188.14067E-03,1
+3.65000E-03,+188.14067E-03,1
+3.70000E-03,+3.15422104E+00,1
+3.75000E-03,+3.12407029E+00,1
+3.80000E-03,+3.19190948E+00,1
+3.85000E-03,+3.16301501E+00,1
+3.90000E-03,+3.14040195E+00,1
+3.95000E-03,+3.08386928E+00,1
+4.00000E-03,+3.16301501E+00,1
+4.05000E-03,+3.16301501E+00,1
+4.10000E-03,+3.15422104E+00,1
+4.15000E-03,+3.16301501E+00,1
+4.20000E-03,+3.16301501E+00,1
+4.25000E-03,+3.16301501E+00,1
+4.30000E-03,+3.16301501E+00,1
+4.35000E-03,+3.16301501E+00,1
+4.40000E-03,+3.16301501E+00,1
+4.45000E-03,+126.58288E-03,1
+4.50000E-03,+156.73364E-03,1
+4.55000E-03,+188.14067E-03,1
+4.60000E-03,+159.24620E-03,1
+4.65000E-03,+188.14067E-03,1
+4.70000E-03,+156.73364E-03,1
+4.75000E-03,+188.14067E-03,1
+4.80000E-03,+617.78891E-03,1
+4.85000E-03,+3.12281401E+00,1
+4.90000E-03,+3.18060295E+00,1
+4.95000E-03,+3.16427129E+00,1
+5.00000E-03,+3.16301501E+00,1
+5.05000E-03,+3.12281401E+00,1
+5.10000E-03,+3.09140697E+00,1
+5.15000E-03,+3.12155773E+00,1
+5.20000E-03,+3.18562808E+00,1
+5.25000E-03,+3.18185923E+00,1
+5.30000E-03,+3.17180898E+00,1
+5.35000E-03,+3.12281401E+00,1
+5.40000E-03,+3.08261300E+00,1
+5.45000E-03,+3.10145722E+00,1
+5.50000E-03,+3.20321602E+00,1
+5.55000E-03,+778.59293E-03,1
+5.60000E-03,+176.83414E-03,1
+5.65000E-03,+147.93967E-03,1
+5.70000E-03,+188.14067E-03,1
+5.75000E-03,+186.88439E-03,1
+5.80000E-03,+159.24620E-03,1
+5.85000E-03,+188.14067E-03,1
+5.90000E-03,+188.14067E-03,1
+5.95000E-03,+3.16301501E+00,1
+6.00000E-03,+3.09391954E+00,1
