time(us),Degree pr Sec
1101560,-0.052905
1122020,5.555606
1142207,10.793734
1162384,13.386345
1182564,14.391613
1202743,16.508102
1222917,15.714407
1243099,15.714407
1263278,-384.817993
1283456,19.153566
1303618,16.137672
