Time,RAW,DEGREE,ANGULAR_MOMENTUM,,,,,,,,,,,,,,,,,
0.134,0.35776,136.723358,0.03,,,0.114,9.75,,,,,,,,,,,,,
0.136,0.35784,136.753922,0.03,,,0.116,9.97,,,,,,,,,,,,,
0.138,0.35776,136.723358,-0.03,,,0.118,9.94,,,,,,,,,,,,,
0.14,0.3576,136.662201,-0.06,,,0.12,9.48,,,,,,,,,,,,,
0.142,0.35776,136.723358,0.06,,,0.122,9.63,,,,,,,,,,,,,
0.144,0.35784,136.753922,0.03,,,0.124,9.45,,,,,,,,,,,,,
0.146,0.35784,136.753922,0.00,,,0.126,9.81,,,,,,,,,,,,,
0.148,0.35776,136.723358,-0.03,,,0.128,9.29,,,,,,,,,,,,,
0.15,0.35776,136.723358,0.00,,,0.13,9.81,,,,,,,,,,,,,
0.152,0.35776,136.723358,0.00,,,0.132,9.75,,,,,,,,,,,,,
0.154,0.35776,136.723358,0.00,,,0.134,9.69,,,,,,,,,,,,,
0.156,0.35768,136.69278,-0.03,,,0.136,,,,,,,,,,,,,,
0.158,0.35776,136.723358,0.03,,,0.138,,,,,,,,,,,,,,
0.16,0.35768,136.69278,-0.03,,,0.14,9.94,,,,,,,,,,,,,
0.162,0.35776,136.723358,0.03,,,0.142,9.75,,,,,,,,,,,,,
0.164,0.35776,136.723358,0.00,,,0.144,9.54,,,,,,,,,,,,,
0.166,0.35776,136.723358,0.00,,,0.146,9.45,,,,,,,,,,,,,
0.168,0.35776,136.723358,0.00,,,0.148,9.45,,,,,,,,,,,,,
0.17,0.35776,136.723358,0.00,,,0.15,9.36,,,,,,,,,,,,,
0.172,0.35768,136.69278,-0.03,,,0.152,9.57,,,,,,,,,,,,,
0.174,0.35768,136.69278,0.00,,,0.154,9.54,,,,,,,,,,,,,
0.176,0.35776,136.723358,0.03,,,0.156,9.63,,,,,,,,,,,,,
0.178,0.35768,136.69278,-0.03,,,0.158,9.69,,,,,,,,,,,,,
0.18,0.35776,136.723358,0.03,,,0.16,9.57,,,,,,,,,,,,,
0.182,0.35768,136.69278,-0.03,,,0.162,9.84,,,,,,,,,,,,,
0.184,0.3596,137.426544,0.73,,,0.164,9.88,,,,,,,,,,,,,
0.186,0.36544,139.658386,2.23,,,0.166,9.75,,,,,,,,,,,,,
0.188,0.37664,143.938629,4.28,,,0.168,9.48,,,,,,,,,,,,,
0.19,0.39,149.044342,5.11,,,0.17,10.12,,,,,,,,,,,,,
0.192,0.40432,154.516953,5.47,,,0.172,9.63,,,,,,,,,,,,,
0.194,0.42224,161.365341,6.85,,,0.174,9.75,,,,,,,,,,,,,
0.196,0.44144,168.702911,7.34,,,0.176,9.63,,,,,,,,,,,,,
0.198,0.46032,175.918198,7.22,,,0.178,9.57,,,,,,,,,,,,,
0.2,0.48064,183.683777,7.77,,,0.18,10.00,,,,,,,,,,,,,
0.202,0.50224,191.938553,8.25,,,0.182,9.63,,,,,,,,,,,,,
0.204,0.5252,200.713058,8.77,,,0.184,10.00,,,,,,,,,,,,,
0.206,0.54872,209.701584,8.99,,,0.186,9.97,,,,,,,,,,,,,
0.208,0.57248,218.78183,9.08,,,0.188,9.81,,,,,,,,,,,,,
0.21,0.59848,228.718109,9.94,,,0.19,9.97,,,,,,,,,,,,,
0.212,0.62336,238.226364,9.51,,,0.192,9.81,,,,,,,,,,,,,
0.214,0.64824,247.734634,9.51,,,0.194,9.66,,,,,,,,,,,,,
0.216,0.67328,257.304047,9.57,,,0.196,9.60,,,,,,,,,,,,,
0.218,0.69784,266.690002,9.39,,,0.198,10.88,,,,,,,,,,,,,
0.22,0.72312,276.351135,9.66,,,0.2,9.42,,,,,,,,,,,,,
0.222,0.74816,285.920563,9.57,,,0.202,9.72,,,,,,,,,,,,,
0.224,0.77272,295.306519,9.39,,,0.204,9.69,,,,,,,,,,,,,
0.226,0.7976,304.814789,9.51,,,0.206,9.72,,,,,,,,,,,,,
0.228,0.82224,314.231354,9.42,,,0.208,9.57,,,,,,,,,,,,,
0.23,0.84664,323.556183,9.32,,,0.21,,,,,,,,,,,,,,
0.232,0.87168,333.12561,9.57,,,0.212,,,,,,,,,,,,,,
0.234,0.89664,342.664429,9.54,,,0.214,9.97,,,,,,,,,,,,,
0.236,0.92152,352.172699,9.51,,,0.216,10.06,,,,,,,,,,,,,
0.238,0.9464,361.680939,9.51,,,0.218,9.78,,,,,,,,,,,,,
0.24,0.62904,240.397079,,,,0.22,10.00,,,,,,,,,,,,,
0.242,0.0552,21.095509,,,,0.222,9.88,,,,,,,,,,,,,
0.244,0.08056,30.787212,9.69,,,0.224,10.18,,,,,,,,,,,,,
