0.766500,:0.000000,13021619
1.291192,:0.105825,13042196
1.809442,:0.264546,13062423
2.222044,:2.380970,13082668
2.581481,:4.074094,13102870
2.872972,:5.925972,13123071
3.109834,:7.566178,13143273
3.210321,:10.740811,13163473
3.333804,:11.269916,13183679
3.433180,:11.904848,13203920
3.493896,:12.857223,13224126
3.523659,:13.756693,13244329
3.543265,:14.232874,13264531
3.643375,:12.804294,13284733
3.566858,:15.820217,13304970
3.589243,:14.814901,13325168
3.612005,:14.497471,13345375
3.618950,:14.709115,13365575
3.618416,:14.920735,13385774
3.629327,:14.762020,13405972
3.640445,:14.709044,13426177
3.588537,:15.926075,13446385
3.555809,:15.926075,13466588
3.577158,:14.867819,13486822
3.571014,:15.079469,13507021
3.573613,:14.973648,13527243
3.582656,:14.814908,13547448
3.551345,:15.555662,13567654
3.556042,:15.079463,13587853
3.574863,:14.656193,13608047
3.584310,:14.709080,13628250
3.445886,:17.619158,13648454
3.477696,:15.185285,13668652
3.473854,:15.132332,13688855
3.485398,:14.814901,13709051
3.478419,:15.079498,13729258
3.483722,:14.920735,13749452
3.573043,:13.227582,13769656
3.362604,:18.571545,13789855
3.444573,:14.497423,13810057
3.443409,:14.867783,13830259
3.456191,:14.709091,13850462
3.466471,:14.709091,13870692
3.476752,:14.709091,13890901
3.473514,:14.973640,13911105
3.433890,:15.767298,13931300
3.398662,:15.926037,13951505
3.401085,:15.238194,13971705
3.446741,:14.179984,13991910
3.408128,:15.502746,14012106
3.420102,:14.920724,14032316
3.441828,:14.550376,14052546
3.433385,:15.026558,14072781
3.421632,:15.238202,14092980
3.502438,:13.492131,14113181
3.344835,:17.619158,14133386
3.387460,:14.973640,14153621
3.388391,:14.973640,14173817
3.383914,:15.079498,14194021
3.391923,:14.867783,14214224
3.407409,:14.656162,14234425
3.414151,:14.762020,14254623
3.357674,:16.031837,14274848
3.321208,:16.031837,14295053
3.336113,:15.026558,14315250
3.327064,:15.185282,14335454
3.382701,:13.968345,14355651
3.392123,:14.497447,14375858
3.372031,:15.238184,14396059
3.355502,:15.396923,14416261
3.490180,:12.486846,14436458
3.449216,:15.026546,14456659
3.453685,:14.920735,14476857
3.440264,:15.238190,14497063
3.412919,:15.608597,14517264
3.453599,:14.391613,14537466
3.415616,:15.555668,14557664
3.425720,:14.973640,14577860
3.426652,:14.973640,14598059
3.424880,:15.026546,14618257
3.437459,:14.762020,14638461
3.443167,:14.814901,14658664
3.455118,:14.709044,14678902
3.454584,:14.920712,14699104
3.457386,:14.920712,14719310
3.457484,:14.973640,14739517
3.288081,:18.306992,14759753
3.292879,:15.926026,14779956
3.300709,:15.132377,14800161
3.339291,:14.285794,14820364
3.313159,:15.291113,14840567
3.316389,:15.026569,14860810
3.345192,:14.444542,14881007
3.240451,:16.878414,14901207
3.279513,:14.814914,14921417
3.304978,:14.444566,14941648
3.273237,:15.449858,14961875
3.287081,:14.867830,14982077
3.289048,:14.920735,15002279
3.281033,:15.132403,15022483
3.295282,:14.761996,15042686
