TimeStep,RAW,DEGREE,ANGULAR_MOMENTUM,,,,
2.682,0.17784,67.964218,10.394882,,,,
2.702,0.20536,78.4814,10.517181,,,,
2.722,0.2328,88.968018,10.486618,,,,
2.742,0.26024,99.454613,10.486595,,,,
2.762,0.28736,109.818939,10.364326,,,,
2.782,0.31448,120.18325,10.364311,,,,
2.802,0.3416,130.547562,10.364311,,,,
2.822,0.3688,140.942459,10.394897,,,,
2.842,0.39584,151.276184,10.333725,,,,
2.862,0.42256,161.48764,10.211456,,,,
2.882,0.45016,172.0354,10.54776,,,,
2.902,0.47744,182.460861,10.425461,,,,
2.922,0.50464,192.855743,10.394882,,,,
2.942,0.53136,203.067184,10.211441,,,,
2.962,0.55808,213.278656,10.211472,,,,
2.982,0.58496,223.551239,10.272583,,,,
3.002,0.6124,234.037842,10.486603,,,,
3.022,0.63952,244.402161,10.364319,,,,
3.042,0.66704,254.919342,10.517181,,,,
3.062,0.69688,266.323151,11.403809,,,,
3.082,0.72408,276.718048,10.394897,,,,
3.102,0.7512,287.082367,10.364319,,,,
3.122,0.77856,297.538361,10.455994,,,,
3.142,0.80576,307.933289,10.394928,,,,
3.162,0.83224,318.053009,10.11972,,,,
3.182,0.85928,328.386749,10.33374,,,,
3.202,0.88616,338.659332,10.272583,,,,
3.222,0.91304,348.931915,10.272583,,,,
3.242,0.94,359.235107,10.303192,,,,
3.262,0.79432,303.56131,,,,,
3.282,0.05376,20.545191,,,,,
3.302,0.08096,30.940077,10.394886,,,,
3.322,0.10888,41.610123,10.670046,,,,
3.342,0.13624,52.066162,10.456039,,,,
3.362,0.16328,62.399899,10.333736,,,,
3.382,0.19064,72.855934,10.456036,,,,
3.402,0.21848,83.495415,10.639481,,,,
3.422,0.24584,93.951447,10.456032,,,,
3.442,0.2728,104.254608,10.303162,,,,
3.462,0.30032,114.77179,10.517181,,,,
3.482,0.32712,125.013817,10.242027,,,,
3.502,0.35432,135.408691,10.394875,,,,
3.522,0.38144,145.773026,10.364334,,,,
3.542,0.40848,156.10675,10.333725,,,,
3.562,0.43536,166.379364,10.272614,,,,
3.582,0.46296,176.927109,10.547745,,,,
3.602,0.49024,187.35257,10.425461,,,,
3.622,0.5176,197.808609,10.456039,,,,
3.642,0.54472,208.172913,10.364304,,,,
3.662,0.57448,219.546143,11.37323,,,,
