N:0.250000, 
43789751, 12.857224 
43809901, 12.539762 
43830057, 12.592668 
43850240, 12.645567 
43870421, 12.751412 
43890591, 12.592662 
43910753, 12.698496 
43930910, 12.539744 
43951064, 12.486815 
43971219, 12.592649 
43991381, 12.539768 
44011547, 10.899544 
44031701, 12.592649 
44051857, 12.486863 
44072017, 12.433934 
44092175, 12.169409 
44112329, 11.322832 
44132498, 12.328148 
44152688, 10.423326 
44172850, 10.423326 
N:1.750000, 
49193200, 10.423326 
49213361, 2.698445 
49233525, 4.285717 
49253680, 5.608511 
49273864, 5.026484 
49294025, 7.883644 
49314189, 5.978870 
49334346, 9.788394 
49354512, 9.841347 
49374667, 10.529184 
49394823, 11.058283 
49414982, 11.428666 
49435141, 11.693192 
49455303, 12.063551 
49475469, 12.433958 
49495659, 10.634995 
49515817, 10.634995 
49535980, 13.015956 
49556135, 13.121784 
49576315, 13.121772 
49596483, 13.280511 
49616645, 13.439240 
49636799, 13.174686 
49656961, 13.227589 
49677120, 13.386333 
49697274, 10.687888 
49717443, 13.280511 
49737631, 13.439239 
49757812, 13.386297 
49777996, 11.322832 
49798155, 13.439226 
49818314, 14.656162 
49838508, 13.545036 
49858667, 13.280487 
49878824, 12.751412 
49898983, 16.190624 
49919142, 12.857246 
49939308, 13.386345 
49959462, 13.386345 
49979622, 13.386345 
49999786, 13.597978 
50019974, 13.492155 
50040126, 13.333415 
50060328, 15.238193 
50080488, 13.439241 
50100643, 13.121781 
50120804, 13.121778 
50140959, 15.661478 
50161115, 13.386333 
50181278, 13.121784 
50201436, 13.597978 
N:2.000000, 
55221756, 0.158733 
55241945, 2.486789 
55262101, 4.603201 
55282268, 6.560892 
55302426, 9.365145 
55322580, 8.836034 
55342748, 10.052978 
55362907, 10.634985 
55383065, 12.592676 
55403229, 11.428655 
55423391, 12.010676 
55443548, 12.169397 
55463710, 13.968349 
55483893, 12.804317 
55504055, 10.634995 
55524231, 13.280511 
55544393, 17.090034 
55564577, 13.492155 
55584766, 13.545084 
55604929, 13.386297 
55625084, 14.920735 
55645250, 13.439250 
55665408, 13.386369 
55685567, 13.227606 
55705732, 14.762020 
55725892, 13.650894 
55746076, 13.650894 
55766272, 13.915438 
55786429, 12.910134 
55806585, 14.074171 
55826745, 14.338717 
55846908, 14.179987 
55867062, 13.915450 
55887227, 11.693192 
55907386, 13.862527 
55927548, 13.597965 
55947707, 13.809598 
55967864, 13.756669 
55988035, 12.592673 
56008198, 13.915443 
56028357, 14.127111 
56048516, 14.232874 
56068675, 13.862514 
56088833, 14.021254 
56109031, 11.746120 
56129196, 13.015938 
56149346, 13.968372 
56169509, 13.809586 
56189672, 13.809586 
56209829, 14.179987 
56229997, 13.862527 
N:2.250000, 
61250269, 5.238152 
61270434, 4.074097 
61290590, 6.137609 
61310750, 4.867744 
61330920, 12.486863 
61351080, 10.000062 
61371268, 10.370398 
61391434, 11.428690 
61411596, 12.539768 
61431756, 12.275219 
61451952, 11.586720 
61472114, 13.386333 
61492276, 13.333426 
61512441, 13.439240 
61532596, 13.915430 
61552758, 13.809607 
61572928, 13.703799 
61593087, 11.534465 
61613249, 14.021254 
61633407, 14.179993 
61653562, 14.285803 
61673719, 14.232922 
61693884, 13.650894 
61714040, 14.391661 
61734203, 14.179969 
61754363, 13.968349 
61774521, 14.127088 
61794674, 14.285803 
61814871, 12.116480 
61835027, 14.180040 
61855181, 14.603233 
61875347, 14.603233 
61895507, 14.391631 
61915698, 14.444542 
61935857, 14.656178 
61956019, 14.603265 
61976181, 14.550370 
61996339, 14.444545 
62016494, 14.338715 
62036664, 14.285791 
62056824, 14.127064 
62076980, 14.285815 
62097141, 14.179981 
62117301, 14.179993 
62137459, 13.968301 
62157629, 14.391613 
62177785, 14.444566 
62197934, 14.232922 
62218096, 14.180017 
62238251, 14.127064 
62258410, 14.179993 
N:2.500000, 
67278718, 1.269841 
67298876, 7.936525 
67319031, 6.402135 
67339187, 7.883620 
67359374, 9.735513 
67379540, 14.973640 
67399699, 11.746097 
67419858, 12.275219 
67440019, 10.529160 
67460177, 17.142963 
67480331, 13.598013 
67500492, 13.545036 
67520650, 13.915491 
67540809, 16.296387 
67561002, 16.296387 
67581164, 14.550359 
67601346, 14.232892 
67621523, 16.772589 
67641670, 14.762006 
67661824, 14.603272 
67681983, 14.444542 
67702137, 18.412811 
67722317, 14.497447 
67742488, 14.232910 
67762646, 14.709091 
67782798, 17.672062 
67802962, 14.232922 
67823120, 14.709115 
67843279, 14.709067 
67863450, 17.936659 
67883603, 14.391613 
67903755, 14.550376 
67923907, 14.021254 
67944061, 18.095303 
67964225, 14.444494 
67984389, 14.444494 
68004548, 14.656180 
68024706, 18.624468 
68044867, 14.709090 
68065051, 14.814919 
68085222, 14.656175 
68105379, 18.095356 
68125539, 14.391625 
68145692, 14.444518 
68165873, 14.391637 
68186028, 17.883730 
68206199, 14.444566 
68226358, 14.656186 
68246514, 14.656186 
68266676, 18.095327 
68286833, 14.338708 
N:2.750000, 
73307180, 0.529110 
73327334, 3.968298 
73347492, 3.809559 
73367653, 8.624387 
73387812, 10.158790 
73407963, 11.322845 
73428127, 11.904836 
73448314, 12.328100 
73468471, 14.550328 
73488662, 11.428642 
73508818, 14.179969 
73528974, 11.904836 
73549139, 17.619158 
73569305, 14.444494 
73589459, 14.550304 
73609621, 14.391613 
73629788, 14.391613 
73649943, 14.497454 
73670134, 14.762003 
73690307, 14.973645 
73710464, 17.301702 
73730626, 14.867822 
73750785, 14.603270 
73770939, 14.550352 
73791112, 15.873135 
73811276, 14.285815 
73831429, 14.867830 
73851589, 14.920735 
73871746, 16.084766 
73891905, 15.026593 
73912059, 14.709091 
73932217, 14.709091 
73952400, 14.179969 
73972559, 14.603281 
73992715, 14.338684 
74012888, 14.603281 
74033043, 14.973640 
74053205, 14.973640 
74073368, 14.867825 
74093526, 14.603270 
74113682, 14.656186 
74133878, 14.920734 
74154038, 15.185291 
74174193, 14.762003 
74194378, 14.814908 
74214541, 11.904848 
74234701, 14.497447 
74254869, 14.656175 
74275053, 14.603257 
74295210, 14.814878 
74315369, 15.132380 
N:3.000000, 
79335673, 0.105828 
79355838, 3.545004 
79375993, 6.243432 
79396176, 5.502689 
79416335, 10.529184 
79436490, 11.640286 
79456643, 12.645591 
79476807, 13.121772 
79496972, 13.333440 
79517128, 13.915443 
79537297, 13.809586 
79557457, 14.550328 
79577611, 14.391613 
79597774, 14.656210 
79617926, 14.444566 
79638084, 14.656210 
79658246, 14.603281 
79678402, 14.762020 
79698594, 14.762020 
79718770, 15.132380 
79738923, 15.449846 
79759079, 15.079464 
79779237, 15.132366 
79799426, 15.079463 
79819611, 15.132368 
79839774, 15.026534 
79859929, 15.026558 
79880080, 15.079463 
79900237, 14.867830 
79920397, 15.079498 
79940559, 15.344000 
79960719, 15.026546 
79980874, 14.656210 
80001031, 14.762020 
80021183, 14.920759 
80041378, 14.338732 
80061545, 14.762020 
80081705, 13.227654 
80101869, 13.227654 
80122035, 14.973640 
80142188, 15.079469 
