absTime [us], speed, voltage
10105193,11.248875,1.304792 
10115489,10.648934,1.388085 
10125789,11.398860,1.290975 
10136085,10.948905,1.351125 
10146387,11.398860,1.291722 
10156688,11.098889,1.330874 
10166992,11.098889,1.332320 
10177282,11.098889,1.333766 
10187585,10.948905,1.356210 
10197880,11.248875,1.317805 
10208172,11.098889,1.338104 
10218471,11.548844,1.276556 
10228768,10.948905,1.355559 
10239068,11.698830,1.254160 
10249369,10.948905,1.352016 
10259667,11.398860,1.292613 
10269970,11.248875,1.310768 
10280270,11.548844,1.268073 
10290567,11.398860,1.284082 
10300865,11.548844,1.260241 
10311160,11.248875,1.297248 
10321490,11.398860,1.275551 
10331786,11.248875,1.293706 
10342082,11.098889,1.314005 
10352378,11.248875,1.294453 
10362672,11.248875,1.293754 
